genome,sortase_present,sortase_count,lpxtg_present,lpxtg_count,bacteriocin_present,bacteriocin_count,crispr_cas_present,crispr_cas_count,stress_universal_present,stress_universal_count,clp_protease_present,clp_protease_count,phage_resistance_present,phage_resistance_count,amr_present,amr_count,virulence_present,virulence_count,phage_present,phage_count,total_genes,accession,label,adhesion_module,antimicrobial_module,phage_defense_module,stress_module,amr_module,virulence_module,mobile_elements_module,adhesion_norm,stress_norm,phage_defense_norm,amr_norm,virulence_norm,defense_vs_risk,survival_vs_mobile,adhesion_vs_genome,probiotic_potential
GCF_000007645.1_ASM764v1_genomic,1,3.0,1,1.0,1,1.0,0,0.0,1,1.0,1,2.0,1,10.0,1,36.0,1,13.0,1,59.0,2519,GCF_000007645.1,0,4.0,1.0,10.0,3.0,36.0,13.0,59.0,0.0015873015873015873,0.0011904761904761906,0.003968253968253968,0.014285714285714285,0.005158730158730159,0.22,0.05,0.0015873015873015873,0.13055555555555556
GCF_000008065.1_ASM806v1_genomic,1,1.0,1,7.0,1,9.0,0,0.0,1,2.0,1,5.0,1,1.0,1,25.0,1,7.0,1,56.0,2006,GCF_000008065.1,1,8.0,9.0,1.0,7.0,25.0,7.0,56.0,0.003986048829098156,0.003487792725460887,0.0004982561036372695,0.01245640259093174,0.003487792725460887,0.30303030303030304,0.12280701754385964,0.003986048829098156,1.7436970602889885
GCF_000008925.1_ASM892v1_genomic,1,2.0,1,2.0,1,10.0,1,54.0,1,4.0,1,7.0,1,1.0,1,30.0,1,9.0,1,103.0,2290,GCF_000008925.1,1,4.0,10.0,55.0,11.0,30.0,9.0,103.0,0.001745962461807071,0.004801396769969445,0.02400698384984723,0.013094718463553033,0.00392841553906591,1.625,0.10576923076923077,0.001745962461807071,2.0078568310781315
GCF_000009045.1_ASM904v1_genomic,1,1.0,0,0.0,1,10.0,0,0.0,1,1.0,1,2.0,1,18.0,1,33.0,1,17.0,1,154.0,4438,GCF_000009045.1,1,1.0,10.0,18.0,3.0,33.0,17.0,154.0,0.00022527596305474206,0.0006758278891642261,0.004054967334985357,0.007434106780806488,0.003829691371930615,0.5490196078431373,0.01935483870967742,0.00022527596305474206,1.9653075016895698
GCF_000009425.1_ASM942v1_genomic,1,3.0,1,6.0,1,10.0,0,0.0,1,6.0,1,5.0,1,4.0,1,28.0,1,1.0,1,215.0,2714,GCF_000009425.1,1,9.0,10.0,4.0,11.0,28.0,1.0,215.0,0.0033149171270718232,0.004051565377532229,0.0014732965009208103,0.010313075506445672,0.00036832412523020257,0.4666666666666667,0.05092592592592592,0.0033149171270718232,1.9664825046040515
GCF_000009745.1_ASM974v1_genomic,1,2.0,0,0.0,0,0.0,1,26.0,1,4.0,1,4.0,1,7.0,1,53.0,1,26.0,1,85.0,4856,GCF_000009745.1,0,2.0,0.0,33.0,8.0,53.0,26.0,85.0,0.00041177681696520483,0.0016471072678608193,0.0067943174799258805,0.010912085649577928,0.005353098620547663,0.4125,0.09302325581395349,0.00041177681696520483,-0.046119003500102944
GCF_000009825.1_ASM982v1_genomic,1,5.0,0,0.0,1,3.0,1,153.0,1,1.0,1,5.0,1,11.0,1,60.0,1,1.0,1,43.0,4604,GCF_000009825.1,1,5.0,3.0,164.0,6.0,60.0,1.0,43.0,0.0010857763300760044,0.0013029315960912053,0.035613463626492946,0.013029315960912053,0.00021715526601520088,2.693548387096774,0.13636363636363635,0.0010857763300760044,0.6458197611292072
GCF_000009925.1_ASM992v1_genomic,0,0.0,1,1.0,0,0.0,1,26.0,0,0.0,1,4.0,1,19.0,1,55.0,1,23.0,1,50.0,4545,GCF_000009925.1,0,1.0,0.0,45.0,4.0,55.0,23.0,50.0,0.0002199736031676199,0.0008798944126704796,0.009898812142542894,0.012098548174219093,0.005059392872855257,0.569620253164557,0.0784313725490196,0.0002199736031676199,-0.04377474703035636
GCF_000010145.1_ASM1014v1_genomic,1,1.0,1,2.0,0,0.0,1,109.0,1,3.0,1,4.0,1,3.0,1,25.0,1,9.0,1,163.0,2289,GCF_000010145.1,1,3.0,0.0,112.0,7.0,25.0,9.0,163.0,0.0013100436681222707,0.003056768558951965,0.04890829694323144,0.010917030567685589,0.003930131004366812,3.2,0.042682926829268296,0.0013100436681222707,0.08908296943231443
GCF_000010525.1_ASM1052v1_genomic,0,0.0,0,0.0,1,3.0,1,1.0,1,1.0,1,4.0,1,5.0,1,38.0,1,10.0,1,39.0,4896,GCF_000010525.1,1,0.0,3.0,6.0,5.0,38.0,10.0,39.0,0.0,0.0010210332856851133,0.001225239942822136,0.007759852971206862,0.0020420665713702267,0.1836734693877551,0.125,0.0,0.5607923218296915
GCF_000010725.1_ASM1072v1_genomic,0,0.0,0,0.0,1,1.0,1,327.0,1,4.0,1,8.0,1,7.0,1,66.0,1,27.0,1,283.0,7054,GCF_000010725.1,1,0.0,1.0,334.0,12.0,66.0,27.0,283.0,0.0,0.001700921332388377,0.04734231041814316,0.009355067328136074,0.003827072997873848,3.5638297872340425,0.04225352112676056,0.0,0.28717221828490436
GCF_000011065.1_ASM1106v1_genomic,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,1,2.0,1,19.0,1,60.0,1,23.0,1,87.0,5053,GCF_000011065.1,0,0.0,0.0,19.0,2.0,60.0,23.0,87.0,0.0,0.0003957261574990107,0.0037593984962406013,0.01187178472497032,0.004550850811238623,0.2261904761904762,0.022727272727272728,0.0,-0.06094182825484763
GCF_000011365.1_ASM1136v1_genomic,1,2.0,0,0.0,0,0.0,0,0.0,1,2.0,1,7.0,1,12.0,1,91.0,1,16.0,1,176.0,8602,GCF_000011365.1,1,2.0,0.0,12.0,9.0,91.0,16.0,176.0,0.0002324770428920144,0.001046146693014065,0.0013948622573520864,0.010577705451586655,0.0018598163431361153,0.1111111111111111,0.05084745762711865,0.0002324770428920144,-0.0517261420434732
GCF_000011825.1_ASM1182v1_genomic,0,0.0,0,0.0,1,8.0,1,84.0,1,1.0,1,5.0,1,1.0,1,26.0,1,4.0,1,64.0,2107,GCF_000011825.1,1,0.0,8.0,85.0,6.0,26.0,4.0,64.0,0.0,0.0028462998102466793,0.04032258064516129,0.012333965844402278,0.0018975332068311196,3.0,0.09230769230769231,0.0,1.6592979127134726
GCF_000011845.1_ASM1184v1_genomic,0,0.0,0,0.0,1,5.0,1,60.0,1,1.0,1,5.0,1,2.0,1,24.0,1,4.0,1,74.0,2085,GCF_000011845.1,1,0.0,5.0,62.0,6.0,24.0,4.0,74.0,0.0,0.0028763183125599234,0.029721955896452542,0.011505273250239693,0.0019175455417066154,2.310344827586207,0.08,0.0,1.0316395014381592
GCF_000011985.1_ASM1198v1_genomic,1,1.0,1,2.0,1,8.0,1,63.0,1,2.0,1,4.0,1,1.0,1,24.0,1,9.0,1,37.0,2055,GCF_000011985.1,1,3.0,8.0,64.0,6.0,24.0,9.0,37.0,0.0014591439688715954,0.0029182879377431907,0.0311284046692607,0.011673151750972763,0.004377431906614786,2.1176470588235294,0.15789473684210525,0.0014591439688715954,1.6306420233463037
GCF_000012825.1_ASM1282v1_genomic,0,0.0,0,0.0,1,1.0,0,0.0,0,0.0,1,4.0,1,19.0,1,55.0,1,15.0,1,114.0,4323,GCF_000012825.1,0,0.0,1.0,19.0,4.0,55.0,15.0,114.0,0.0,0.0009250693802035153,0.0043940795559666975,0.012719703977798334,0.003469010175763182,0.28169014084507044,0.034782608695652174,0.0,0.1410268270120259
GCF_000012845.1_ASM1284v1_genomic,0,0.0,0,0.0,0,0.0,1,17.0,0,0.0,1,3.0,1,16.0,1,51.0,1,25.0,1,36.0,4129,GCF_000012845.1,0,0.0,0.0,33.0,3.0,51.0,25.0,36.0,0.0,0.0007263922518159806,0.007990314769975786,0.012348668280871672,0.006053268765133172,0.42857142857142855,0.08108108108108109,0.0,-0.05447941888619855
GCF_000012905.2_ASM1290v2_genomic,0,0.0,0,0.0,0,0.0,1,1.0,1,1.0,1,6.0,1,9.0,1,37.0,1,16.0,1,70.0,4444,GCF_000012905.2,1,0.0,0.0,10.0,7.0,37.0,16.0,70.0,0.0,0.0015748031496062992,0.0022497187851518562,0.008323959505061868,0.0035995500562429695,0.18518518518518517,0.09859154929577464,0.0,-0.04251968503937008
GCF_000013285.1_ASM1328v1_genomic,1,7.0,1,4.0,1,3.0,0,0.0,0,0.0,1,3.0,1,1.0,1,32.0,1,7.0,1,33.0,3063,GCF_000013285.1,0,11.0,3.0,1.0,3.0,32.0,7.0,33.0,0.0035900783289817234,0.0009791122715404699,0.00032637075718015666,0.010443864229765013,0.0022845953002610967,0.1,0.08823529411764706,0.0035900783289817234,0.5510443864229764
GCF_000013345.1_ASM1334v1_genomic,0,0.0,0,0.0,1,13.0,1,164.0,0,0.0,1,6.0,1,8.0,1,47.0,1,22.0,1,129.0,5010,GCF_000013345.1,1,0.0,13.0,172.0,6.0,47.0,22.0,129.0,0.0,0.001197365795250449,0.03432448613051287,0.009379365396128518,0.004390341249251646,2.642857142857143,0.046153846153846156,0.0,2.645300339253642
GCF_000014025.1_ASM1402v1_genomic,0,0.0,1,1.0,0,0.0,1,1.0,1,1.0,1,3.0,1,3.0,1,34.0,1,4.0,1,22.0,2355,GCF_000014025.1,0,1.0,0.0,4.0,4.0,34.0,4.0,22.0,0.00042444821731748726,0.001697792869269949,0.001697792869269949,0.014431239388794566,0.001697792869269949,0.10256410256410256,0.17391304347826086,0.00042444821731748726,-0.06791171477079797
GCF_000014365.2_ASM1436v2_genomic,1,1.0,1,4.0,1,26.0,0,0.0,1,1.0,1,5.0,1,2.0,1,25.0,1,11.0,1,68.0,2138,GCF_000014365.2,0,5.0,26.0,2.0,6.0,25.0,11.0,68.0,0.0023375409069658717,0.002805049088359046,0.0009350163627863488,0.01168770453482936,0.005142589995324918,0.7567567567567568,0.08695652173913043,0.0023375409069658717,5.139223936418888
GCF_000014385.1_ASM1438v1_genomic,1,2.0,0,0.0,1,3.0,0,0.0,1,3.0,1,4.0,1,4.0,1,24.0,1,3.0,1,16.0,1902,GCF_000014385.1,1,2.0,3.0,4.0,7.0,24.0,3.0,16.0,0.0010509721492380452,0.0036784025223331584,0.0021019442984760903,0.012611665790856543,0.0015764582238570678,0.25,0.4117647058823529,0.0010509721492380452,0.5479768786127167
GCF_000014405.1_ASM1440v1_genomic,1,1.0,0,0.0,1,1.0,1,50.0,1,1.0,1,5.0,1,1.0,1,27.0,1,6.0,1,46.0,2100,GCF_000014405.1,1,1.0,1.0,51.0,6.0,27.0,6.0,46.0,0.00047596382674916705,0.0028557829604950024,0.02427415516420752,0.01285102332222751,0.0028557829604950024,1.5294117647058822,0.1276595744680851,0.00047596382674916705,0.20666349357448835
GCF_000014425.1_ASM1442v1_genomic,1,2.0,1,4.0,1,6.0,0,0.0,1,2.0,1,5.0,1,1.0,1,27.0,1,14.0,1,62.0,1937,GCF_000014425.1,1,6.0,6.0,1.0,7.0,27.0,14.0,62.0,0.0030959752321981426,0.003611971104231166,0.0005159958720330237,0.01393188854489164,0.007223942208462332,0.16666666666666666,0.1111111111111111,0.0030959752321981426,1.1236326109391126
GCF_000014445.1_ASM1444v1_genomic,1,4.0,0,0.0,1,4.0,0,0.0,1,3.0,1,7.0,1,5.0,1,35.0,1,4.0,1,41.0,2151,GCF_000014445.1,1,4.0,4.0,5.0,10.0,35.0,4.0,41.0,0.0018587360594795538,0.004646840148698885,0.0023234200743494425,0.016263940520446097,0.0018587360594795538,0.225,0.23809523809523808,0.0018587360594795538,0.7330855018587362
GCF_000014485.1_ASM1448v1_genomic,1,1.0,0,0.0,1,8.0,1,74.0,1,1.0,1,5.0,1,4.0,1,25.0,1,4.0,1,91.0,2165,GCF_000014485.1,1,1.0,8.0,78.0,6.0,25.0,4.0,91.0,0.0004616805170821791,0.002770083102493075,0.036011080332409975,0.011542012927054479,0.0018467220683287165,2.8666666666666667,0.06521739130434782,0.0004616805170821791,1.651246537396122
GCF_000014505.1_ASM1450v1_genomic,1,1.0,1,3.0,1,3.0,0,0.0,1,6.0,1,5.0,1,2.0,1,28.0,1,3.0,1,38.0,1851,GCF_000014505.1,1,4.0,3.0,2.0,11.0,28.0,3.0,38.0,0.0021598272138228943,0.005939524838012959,0.0010799136069114472,0.01511879049676026,0.0016198704103671706,0.15625,0.28205128205128205,0.0021598272138228943,0.5389848812095033
GCF_000014525.1_ASM1452v1_genomic,1,4.0,1,6.0,1,11.0,1,48.0,1,3.0,1,3.0,0,0.0,1,32.0,1,13.0,1,175.0,2985,GCF_000014525.1,1,10.0,11.0,48.0,6.0,32.0,13.0,175.0,0.003348961821835231,0.0020093770931011385,0.016075016744809108,0.010716677829872739,0.004353650368385801,1.2826086956521738,0.03409090909090909,0.003348961821835231,2.192297387809779
GCF_000014545.1_ASM1454v1_genomic,1,2.0,1,6.0,1,10.0,0,0.0,1,6.0,1,4.0,1,6.0,1,28.0,1,5.0,1,282.0,2856,GCF_000014545.1,1,8.0,10.0,6.0,10.0,28.0,5.0,282.0,0.00280014000700035,0.0035001750087504373,0.0021001050052502626,0.009800490024501224,0.0017500875043752187,0.47058823529411764,0.0353356890459364,0.00280014000700035,1.9646482324116206
GCF_000015385.1_ASM1538v1_genomic,1,2.0,1,1.0,1,2.0,1,51.0,1,2.0,1,4.0,1,1.0,1,26.0,1,15.0,1,239.0,2352,GCF_000015385.1,1,3.0,2.0,52.0,6.0,26.0,15.0,239.0,0.0012749681257968552,0.0025499362515937103,0.022099447513812154,0.011049723756906077,0.006374840628984276,1.2857142857142858,0.025,0.0012749681257968552,0.3995750106247344
GCF_000016325.1_ASM1632v1_genomic,0,0.0,0,0.0,0,0.0,1,79.0,1,8.0,1,5.0,1,28.0,1,48.0,1,33.0,1,109.0,4714,GCF_000016325.1,1,0.0,0.0,107.0,13.0,48.0,33.0,109.0,0.0,0.002757158006362672,0.022693531283138918,0.010180275715800637,0.006998939554612937,1.3048780487804879,0.11818181818181818,0.0,0.0016967126193001003
GCF_000017025.1_ASM1702v1_genomic,1,2.0,0,0.0,1,4.0,1,19.0,1,1.0,1,5.0,1,1.0,1,49.0,1,9.0,1,72.0,3709,GCF_000017025.1,0,2.0,4.0,20.0,6.0,49.0,9.0,72.0,0.0005390835579514825,0.0016172506738544475,0.005390835579514825,0.013207547169811321,0.002425876010781671,0.4067796610169492,0.0821917808219178,0.0005390835579514825,0.7471698113207547
GCF_000017045.1_ASM1704v1_genomic,1,2.0,0,0.0,1,4.0,1,19.0,1,1.0,1,3.0,1,1.0,1,46.0,1,6.0,1,33.0,3587,GCF_000017045.1,0,2.0,4.0,20.0,4.0,46.0,6.0,33.0,0.0005574136008918618,0.0011148272017837235,0.005574136008918618,0.01282051282051282,0.0016722408026755853,0.4528301886792453,0.11764705882352941,0.0005574136008918618,0.7509476031215162
GCF_000017065.1_ASM1706v1_genomic,1,2.0,0,0.0,1,5.0,1,28.0,1,1.0,1,5.0,1,1.0,1,49.0,1,8.0,1,76.0,3871,GCF_000017065.1,0,2.0,5.0,29.0,6.0,49.0,8.0,76.0,0.0005165289256198347,0.0015495867768595042,0.0074896694214876035,0.01265495867768595,0.002066115702479339,0.5862068965517241,0.07792207792207792,0.0005165289256198347,0.9571280991735535
GCF_000017965.1_ASM1796v1_genomic,1,2.0,1,1.0,1,3.0,1,9.0,1,3.0,1,3.0,1,2.0,1,66.0,1,3.0,1,58.0,5051,GCF_000017965.1,1,3.0,3.0,11.0,6.0,66.0,3.0,58.0,0.0005938242280285036,0.0011876484560570072,0.00217735550277118,0.013064133016627079,0.0005938242280285036,0.2,0.1016949152542373,0.0005938242280285036,0.5429928741092637
GCF_000018985.1_ASM1898v1_genomic,1,1.0,1,5.0,1,27.0,0,0.0,1,1.0,1,5.0,1,2.0,1,23.0,1,13.0,1,112.0,2234,GCF_000018985.1,0,6.0,27.0,2.0,6.0,23.0,13.0,112.0,0.0026845637583892616,0.0026845637583892616,0.0008948545861297539,0.01029082774049217,0.0058165548098434005,0.7837837837837838,0.05309734513274336,0.0026845637583892616,5.344519015659956
GCF_000019005.1_ASM1900v1_genomic,1,1.0,1,5.0,1,26.0,0,0.0,1,1.0,1,5.0,1,2.0,1,25.0,1,12.0,1,94.0,2240,GCF_000019005.1,0,6.0,26.0,2.0,6.0,25.0,12.0,94.0,0.002677376171352075,0.002677376171352075,0.000892458723784025,0.011155734047300312,0.00535475234270415,0.7368421052631579,0.06315789473684211,0.002677376171352075,5.141543953592146
GCF_000019025.1_ASM1902v1_genomic,1,5.0,1,4.0,1,23.0,0,0.0,1,1.0,1,5.0,1,2.0,1,23.0,1,9.0,1,117.0,2230,GCF_000019025.1,0,9.0,23.0,2.0,6.0,23.0,9.0,117.0,0.004034065441506051,0.002689376961004034,0.0008964589870013447,0.010309278350515464,0.004034065441506051,0.7575757575757576,0.05084745762711865,0.004034065441506051,4.552487673688928
GCF_000019045.1_ASM1904v1_genomic,1,1.0,0,0.0,1,2.0,1,302.0,1,2.0,1,3.0,1,4.0,1,33.0,1,13.0,1,113.0,3399,GCF_000019045.1,1,1.0,2.0,306.0,5.0,33.0,13.0,113.0,0.0002941176470588235,0.0014705882352941176,0.09,0.009705882352941177,0.003823529411764706,6.553191489361702,0.043859649122807015,0.0002941176470588235,0.6135294117647059
